720,1,0,0.093915
720,2,0,0.061878
720,4,0,0.047969
720,8,0,0.048813
720,16,0,0.048658
720,32,0,0.052370
1080,1,0,0.188222
1080,2,0,0.141388
1080,4,0,0.124813
1080,8,0,0.119721
1080,16,0,0.121064
1080,32,0,0.126317
2160,1,0,0.771946
2160,2,0,0.568949
2160,4,0,0.482542
2160,8,0,0.478179
2160,16,0,0.514900
2160,32,0,0.489679
720,1,0,0.084012
720,2,0,0.058104
720,4,0,0.048822
720,8,0,0.048452
720,16,0,0.049504
720,32,0,0.050082
1080,1,0,0.182603
1080,2,0,0.139180
1080,4,0,0.126101
1080,8,0,0.121504
1080,16,0,0.117075
1080,32,0,0.126769
2160,1,0,0.766541
2160,2,0,0.565603
2160,4,0,0.509298
2160,8,0,0.493263
2160,16,0,0.489218
2160,32,0,0.488000
