8,1,0.000024
8,2,0.009497
8,4,0.005988
8,8,0.034214
8,16,0.010176
8,32,0.000504
16,1,0.000016
16,2,0.000063
16,4,0.000055
16,8,0.024685
16,16,0.000296
16,32,0.000795
32,1,0.000403
32,2,0.000476
32,4,0.022041
32,8,0.059703
32,16,0.019312
32,32,0.003315
64,1,0.001928
64,2,0.001524
64,4,0.010391
64,8,0.057753
64,16,0.016041
64,32,0.001203
128,1,0.006290
128,2,0.005468
128,4,0.002581
128,8,0.026231
128,16,0.003001
128,32,0.002398
256,1,0.040852
256,2,0.019772
256,4,0.011835
256,8,0.042602
256,16,0.013779
256,32,0.014357
512,1,0.308889
512,2,0.158779
512,4,0.097041
512,8,0.110436
512,16,0.109004
512,32,0.100810
1024,1,2.726549
1024,2,1.410490
1024,4,0.958904
1024,8,0.890707
1024,16,0.866722
1024,32,0.808384
8,1,0.000008
8,2,0.000034
8,4,0.000061
8,8,0.004795
8,16,0.007177
8,32,0.003539
16,1,0.000046
16,2,0.000102
16,4,0.000125
16,8,0.043214
16,16,0.010840
16,32,0.003967
32,1,0.000645
32,2,0.000535
32,4,0.001198
32,8,0.032939
32,16,0.002028
32,32,0.001196
64,1,0.001293
64,2,0.000973
64,4,0.006610
64,8,0.000470
64,16,0.001155
64,32,0.001032
128,1,0.005757
128,2,0.003193
128,4,0.001777
128,8,0.019099
128,16,0.005684
128,32,0.002778
256,1,0.047284
256,2,0.025668
256,4,0.014416
256,8,0.037254
256,16,0.028763
256,32,0.015358
512,1,0.504364
512,2,0.281847
512,4,0.215340
512,8,0.154825
512,16,0.171943
512,32,0.168677
1024,1,3.722462
1024,2,2.091366
1024,4,1.090817
1024,8,1.144071
1024,16,1.122700
1024,32,1.131063
8,1,0.000023
8,2,0.000153
8,4,0.000153
8,8,0.038923
8,16,0.027184
8,32,0.002432
16,1,0.000020
16,2,0.000051
16,4,0.000079
16,8,0.032302
16,16,0.025490
16,32,0.016130
32,1,0.000171
32,2,0.000200
32,4,0.000168
32,8,0.037702
32,16,0.008304
32,32,0.001781
64,1,0.001032
64,2,0.001053
64,4,0.000597
64,8,0.039963
64,16,0.003741
64,32,0.001105
128,1,0.008886
128,2,0.003542
128,4,0.001826
128,8,0.002239
128,16,0.002615
128,32,0.003596
256,1,0.055762
256,2,0.028951
256,4,0.026644
256,8,0.018326
256,16,0.022387
256,32,0.021651
512,1,0.490432
512,2,0.257972
512,4,0.143830
512,8,0.173443
512,16,0.152209
512,32,0.145261
1024,1,3.903945
1024,2,2.127756
1024,4,1.210181
1024,8,1.307282
1024,16,1.276393
1024,32,1.293265
8,1,0.000036
8,2,0.000234
8,4,0.000207
8,8,0.061346
8,16,0.016283
8,32,0.001123
16,1,0.000075
16,2,0.005156
16,4,0.003027
16,8,0.027929
16,16,0.005972
16,32,0.004690
32,1,0.000402
32,2,0.000481
32,4,0.001521
32,8,0.056195
32,16,0.012748
32,32,0.002098
64,1,0.003459
64,2,0.001795
64,4,0.001728
64,8,0.093341
64,16,0.001089
64,32,0.001981
128,1,0.011349
128,2,0.004862
128,4,0.005393
128,8,0.045631
128,16,0.014341
128,32,0.003838
256,1,0.063154
256,2,0.032487
256,4,0.016766
256,8,0.021158
256,16,0.017619
256,32,0.019757
512,1,0.519577
512,2,0.267284
512,4,0.153527
512,8,0.184407
512,16,0.182011
512,32,0.169307
1024,1,3.975297
1024,2,2.470391
1024,4,1.418876
1024,8,1.435821
1024,16,1.397912
1024,32,1.379740
