8,1,1,0.000269
8,1,10,0.000015
8,1,30,0.000012
8,1,50,0.000011
8,1,70,0.000010
8,1,90,0.000011
8,1,110,0.000010
8,1,130,0.000010
8,1,150,0.000011
8,1,170,0.000010
8,1,190,0.000011
8,1,210,0.000010
8,1,230,0.000011
8,1,250,0.000011
8,2,1,0.000031
8,2,10,0.000013
8,2,30,0.000011
8,2,50,0.000010
8,2,70,0.000011
8,2,90,0.000011
8,2,110,0.000011
8,2,130,0.000010
8,2,150,0.000010
8,2,170,0.000010
8,2,190,0.000010
8,2,210,0.000011
8,2,230,0.000010
8,2,250,0.000010
8,4,1,0.000020
8,4,10,0.000011
8,4,30,0.000010
8,4,50,0.000010
8,4,70,0.000010
8,4,90,0.000010
8,4,110,0.000011
8,4,130,0.000011
8,4,150,0.000010
8,4,170,0.000011
8,4,190,0.000010
8,4,210,0.000010
8,4,230,0.000011
8,4,250,0.000011
8,8,1,0.000016
8,8,10,0.000010
8,8,30,0.000011
8,8,50,0.000010
8,8,70,0.000010
8,8,90,0.000010
8,8,110,0.000010
8,8,130,0.000010
8,8,150,0.000010
8,8,170,0.000010
8,8,190,0.000011
8,8,210,0.000010
8,8,230,0.000010
8,8,250,0.000011
8,12,10,0.000011
8,12,30,0.000010
8,12,50,0.000010
8,12,70,0.000010
8,12,90,0.000010
8,12,110,0.000014
8,12,130,0.000014
8,12,150,0.000010
8,12,170,0.000010
8,12,190,0.000016
8,12,210,0.000011
8,12,230,0.000010
8,12,250,0.000011
16,1,1,0.000243
16,1,10,0.000035
16,1,30,0.000021
16,1,50,0.000015
16,1,70,0.000014
16,1,90,0.000013
16,1,110,0.000012
16,1,130,0.000012
16,1,150,0.000011
16,1,170,0.000012
16,1,190,0.000012
16,1,210,0.000012
16,1,230,0.000012
16,1,250,0.000013
16,2,1,0.000116
16,2,10,0.000021
16,2,30,0.000014
16,2,50,0.000013
16,2,70,0.000012
16,2,90,0.000011
16,2,110,0.000012
16,2,130,0.000011
